Title,Author,Description,Genres,cover
The Pursuit of Love,Nancy Mitford,"Few aristocratic English families of the twentieth century enjoyed the glamorous notoriety of the infamous Mitford sisters. Nancy Mitford's most famous novel, The Pursuit of Love satirizes British aristocracy in the twenties and thirties through the amorous adventures of the Radletts, an exuberantly unconventional family closely modelled on Mitford's own.The Radletts of Alconleigh occupy the heights of genteel eccentricity, from terrifying Lord Alconleigh (who, like Mitford's father, used to hunt his children with bloodhounds when foxes were not available), to his gentle wife, Sadie, their wayward daughter Linda, and the other six lively Radlett children. Mitford's wickedly funny prose follows these characters through misguided marriages and dramatic love affairs, as the shadow of World War II begins to close in on their rapidly vanishing world.","['Fiction', 'Classics', 'Romance', 'Historical Fiction', 'British Literature', 'Humor', '20th Century', 'Historical', 'Novels', 'Modern Classics']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1178768641l/835458._SY475_.jpg
Anil's Ghost,Michael Ondaatje,"An alternate cover edition of this ISBN can be found here.With his first novel since the internationally acclaimed The English Patient, Booker Prize-winning author Michael Ondaatje gives us a work displaying all the richness of imagery and language and the piercing emotional truth that we have come to know as the hallmarks of his writing.Anil’s Ghost transports us to Sri Lanka, a country steeped in centuries of tradition, now forced into the late twentieth century by the ravages of civil war. Into this maelstrom steps Anil Tissera, a young woman born in Sri Lanka, educated in England and America, who returns to her homeland as a forensic anthropologist sent by an international human rights group to discover the source of the organized campaigns of murder engulfing the island. What follows is a story about love, about family, about identity, about the unknown enemy, about the quest to unlock the hidden past–a story propelled by a riveting mystery. Unfolding against the deeply evocative background of Sri Lanka’s landscape and ancient civilization, Anil’s Ghost is a literary spellbinder–Michael Ondaatje’s most powerful novel yet.","['Fiction', 'Canada', 'Historical Fiction', 'Literature', 'Literary Fiction', 'Asia', 'Contemporary', 'Novels', 'Mystery', 'War']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924095l/5942.jpg
The Isis Covenant,James Douglas,"Jamie Saintclair embarks on another action-packed historical adventure, guaranteed to have you gripped from page one! Perfect for fans of Dan Brown, Chris Kuzneski and Scott Mariani.

  
  READERS ARE LOVING THE ISIS COVENANT! 
""Cracking read, only put it down for sleeping, shopping and the washing up."" - 5 STARS""Excellent read, enjoyed it from start to finish..."" - 5 STARS""Great Read. Hooked from page 1"" - 5 STARS****************************************THE PRICE OF ETERNAL LIFE IS DEATH...AD 64: Roman centurion Marcus Domitus leads an expedition to find the mythical treasure hidden deep inside Queen Dido's temple.1945: Two Nazis disappear amidst the chaos of a burning Berlin - and so does a precious object.2009: Two brutal murders in London and Boston linked by a single name and a shared history.When art recovery expert Jamie Saintclair is asked to help investigate, he finds himself delving deep into the occult and uncovering dark secrets, tales of lust and greed and a curse linked to ancient Egypt... Can he discover the truth before the curse claims more victims and catches up with him?Jamie Saintclair's adventures continue in The Excalibur Codex and The Samurai Inheritance. Have you read The Doomsday Testament, his first adventure?","['Thriller', 'History', 'Adventure', 'Action']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342309798l/15752117.jpg
No Unhallowed Hand,Gerald N. Lund (Goodreads Author),"“Joshua,” said Brigham, “three years ago, Joseph wrote to a Mr. John Wentworth, and one of the things he said was this. 'The standard of truth has been erected, and no unhallowed hand can stop the work from progressing. It will not stop until the purposes of God are accomplished and the great Jehovah shall say to us, the work is done!'”Now Brigham's voice quivered with excitement; his eyes burned with intensity. “That's what we're offering here, Joshua. Those men with their painted faces stormed Carthage Jail and thought they had stopped the work. Well, what an enormous shock this will be to them! They're driving us from the state, thinking that will end it. But give us ten years. Fifteen years! And then even a blind man will know that no unhallowed hand can stop this work.”Picking up the story shortly after the martyrdom of Joseph and Hyrum Smith, No Unhallowed Hand — volume 7 in the series The Work and the Glory — takes the saga of the Restoration the the fictional Steed family from the end of June 1844 to February 1846.As this volume opens, it is a time of great sadness and of uncertainty. Having lost their beloved prophet, the Saints witness a series of power plays by those who would use the opportunity to further their own interests. It is not long, however, before the Lord's purposes are made apparent and the Twelve take their rightful position as leaders of the Church, with Brigham Young at their head. For a time, an uneasy peace seems to prevail in Illinois, but then the Nauvoo Charter is revoked, anti-Mormon hatred is again inflamed by those involved in the Prophet's death, mobs burn homes in small Mormon settlements, and eventually the Saints again find themselves faced with the threat of violent expulsion unless they agree to leave the state. The situation promises to divide the Steeds. Who among them will go west and who will stay? What will Joshua's and Melissa's part-member families do?This installment in the series contains not only its share of fascinating real-life history, but also a number of plot twists involving the Steeds that will keep readers engaged from beginning to end. The story of their lives underscores the prophetic nature of Joseph Smith's words that, indeed, “no unhallowed hand can stop the work.”","['Historical Fiction', 'Lds', 'Lds Fiction', 'Religion', 'Fiction', 'Church', 'Adult', 'Spirituality', 'Adult Fiction', 'Christian Fiction']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266601545l/625561.jpg
Blue Light,Walter Mosley,"San Francisco in the mid 1960s is already a crazy place when a cosmic blue light randomly strikes people in its path, quickening their DNA and enhancing their strengths. Under blue light nothing remains the same.","['Science Fiction', 'Fiction', 'African American', 'Science Fiction Fantasy', 'Fantasy', 'Mystery', 'Contemporary', 'Speculative Fiction', 'Collections']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1176684480l/644416.jpg
Albert of Adelaide,Howard L. Anderson (Goodreads Author),"At once an old-fashioned-buddy-novel-shoot-'em-up and a work of deliciously imagined fantasy, Howard L. Anderson's dazzling debut presents the haunting story of a world where something has gone horribly awry . . . Having escaped from Australia's Adelaide Zoo, an orphaned platypus named Albert embarks on a journey through the outback in search of ""Old Australia,"" a rumored land of liberty, promise, and peace. What he will find there, however, away from the safe confinement of his enclosure for the first time since his earliest memories, proves to be a good deal more than he anticipated. Alone in the outback, with an empty soft drink bottle as his sole possession, Albert stumbles upon pyromaniacal wombat Jack, and together they spend a night drinking and gambling in Ponsby Station, a rough-and-tumble mining town. Accused of burning down the local mercantile, the duo flees into menacing dingo territory and quickly go their separate ways-Albert to pursue his destiny in the wastelands, Jack to reconcile his past. Encountering a motley assortment of characters along the way-a pair of invariably drunk bandicoots, a militia of kangaroos, hordes of the mercurial dingoes, and a former prize-fighting Tasmanian devil-our unlikely hero will discover a strength and skill for survival he never suspected he possessed. Told with equal parts wit and compassion, Albert of Adelaide shows how it is often the unexpected route, and the most improbable companions, that lead us on the path to who we really are. Who you journey with, after all, is far more important than wherever it is you are going.","['Fiction', 'Fantasy', 'Australia', 'Animals', 'Adventure', 'Westerns', 'Novels', 'Adult Fiction', 'Contemporary', 'Science Fiction Fantasy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342899829l/13486177.jpg
Immortal Queen,Elizabeth Byrd,"On February 8th, 1587, a woman of forty-four, regal, elegant, but no longer beautiful, knelt to lay her head upon a block. At the third stroke of the axe the order signed by Queen Elizabeth I of England was carried out, and the turbulent life of Mary, Queen of Scots was ended. — ""Immortal Queen"" tells the story of that life, from Mary's childhood days in France to her death at Fotheringay. The narrative is in the highest tradition of historical fiction - vivid, alive, and rich in pageantry. From the first page the reader is lost in a world of nearly four centuries ago, a world of drama and torturous intrigue, of treachery and high courage. Mary, a widow and a queen at the age of eighteen, dies as courageously as she had lived; and Bothwell, that lion of a man who perished a madman in a Danish prison, more that matches her in courage - and is the one man she could trust among many who would betray her and plot her downfall. All spring to life in this enthralling, unforgettable book.","['Historical Fiction', 'Fiction', 'Scotland', 'Historical', 'Tudor Period', 'Novels', 'British Literature']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1335007921l/3181986.jpg
"Break the Bodies, Haunt the Bones",Micah Dean Hicks (Goodreads Author),"Swine Hill was full of the dead. Their ghosts were thickest near the abandoned downtown, where so many of the town’s hopes had died generation by generation. They lingered in the places that mattered to them, and people avoided those streets, locked those doors, stopped going into those rooms... They could hurt you. Worse, they could change you.Jane is haunted. Since she was a child, she has carried a ghost girl that feeds on the secrets and fears of everyone around her, whispering to Jane what they are thinking and feeling, even when she doesn’t want to know. Henry, Jane’s brother, is ridden by a genius ghost that forces him to build strange and dangerous machines. Their mother is possessed by a lonely spirit that burns anyone she touches. In Swine Hill, a place of defeat and depletion, there are more dead than living.When new arrivals begin scoring precious jobs at the last factory in town, both the living and the dead are furious. This insult on the end of a long economic decline sparks a conflagration. Buffeted by rage on all sides, Jane must find a way to save her haunted family and escape the town before it kills them.","['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Science Fiction', 'Halloween', 'Ghosts', 'Adult', 'Thriller', 'New Adult']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525583050l/38393457.jpg
The Soul Is Here For Its Own Joy: Sacred Poems from Many Cultures,Robert Bly,"Robert Bly's ground-breaking anthology of spiritual poems, the result of over a decade of personal research, celebrates the ongoing role of the divine in literature. For as long as people have lived together in communities and built enduring cultures, they have sung and written about their relationship with the God or gods they believed in. In the words of the Irish writer Sean O'Faolain, ""all good writing in the end is the writer's argument with God.""The Soul Is Here For Its Own Joy gathers poems from a wide range of cultures and traditions and divides them into ten parts, each forming a resonant exploration of a specific and timeless spiritual question. Selections include the work of Dante, Dogen, Goethe, Hafez, Juan Ramon Jimenez, Kabir, Lalla, Li Po, Mirabai, Mary Oliver, Owl Woman, Rainer Maria Rilke, and Rumi, in addition to Blake, Dickinson, Donne, Hopkins, Stevens, Yeats, and other important English and American poets. Together these poems form both a celebration and a quest--a kind of pilgrim's progress that embraces all the rich wisdom of East and West, ancient and modern, male and female, spirit and flesh.","['Poetry', 'Spirituality', 'The World', 'Cultural', 'Anthologies', 'Nonfiction']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387740455l/162334.jpg
Peso leggero,"Olivier Adam, Maurizia Balmelli (Translator)","Di giorno seppellisce sconosciuti per conto di un’impresa di pompe funebri, di sera si allena in una palestra di periferia dove le speranze sono scandite solo dal ritmo dei pugni dati e ricevuti. Smarrito nello squallore del caos suburbano, ogni legame spezzato dalla morte o dalla vita, il giovane pugile Antoine non riesce a dare un senso alla propria esistenza: vinto dall’alcol, incapace di amare, smarrito in un caleidoscopio di ricordi d’infanzia sempre più sgranati e distanti, rischia di giocarsi tutto anche sul ring della vita... Peso leggero è considerato uno dei capolavori di Olivier Adam, che nel giro di pochi anni ha commosso e incantato migliaia di lettori francesi riuscendo a imporsi come una delle voci più significative della nuova generazione.",['France'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414948235l/9669355.jpg
The Memory of Running,Ron McLarty,"Every decade seems to produce a novel that captures the public's imagination with a story that sweeps readers up and takes them on a thrilling, unforgettable ride.Ron McLarty's The Memory of Running is this decade's novel. By all accounts, especially his own, Smithson ""Smithy"" Ide is a loser. An overweight, friendless, chain-smoking, forty-three-year-old drunk, Smithy's life becomes completely unhinged when he loses his parents and long-lost sister within the span of one week.Rolling down the driveway of his parents' house in Rhode Island on his old Raleigh bicycle to escape his grief, the emotionally bereft Smithy embarks on an epic, hilarious, luminous, and extraordinary journey of discovery and redemption. (From the publisher.)","['Fiction', 'Contemporary', 'Novels', 'Audiobook', 'Book Club', 'Adult Fiction', 'Mental Illness', 'Adventure', 'Adult', 'Psychology']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309288683l/112147.jpg
Comics Squad: Recess!,"Jennifer L. Holm (Goodreads Author), Matthew Holm, Jarrett J. Krosoczka (Goodreads Author), Dan Santat (Goodreads Author), Raina Telgemeier (Goodreads Author), Dav Pilkey (Contributor), Dave Roman (Goodreads Author) (Contributor), Eric Wight (Goodreads Author) (Contributor), more…","A bust-your-gut-laughing graphic-novel anthology with original contributions from the most beloved names in the genre! * Jennifer Holm & Matthew Holm * Jarrett J. Krosoczka * Dav Pilkey * Dan Santat * Raina Telgemeier * Dave Roman * Ursula Vernon * Eric Wight * Gene Yang *Wowza! Calling all kidz! Do you like comics? Do you like laughing till milk comes out of your nose?! Look no further--do we have the book for you! All your favorite comic creators are right here in this handy-dandy hilarious book! This all-star tribute to classic Sunday comics includes eight sidesplitting, action-packed stories about every kid's favorite subject--RECESS! With popular characters from Babymouse and Lunch Lady and brand-new soon-to-be favorite characters from superstars including Dav Pilkey! Raina Telgemeier! Gene Yang! and many more! Comics Squad also features Pizza Monsters! Secret ninja clubs! Aliens! Talking desserts! Dinozilla! Death-defying escapes! Bad guys! Good guys! Medium guys! Superheroes! Bullies! Mean girls! Epic battles! True love! Outlandish schemes! Evil plans! Fun! Jokes! Terrible puns! And other surprises that will tickle your funny bone! WARNING: THIS BOOK MAY CAUSE EXCESSIVE LAUGHTER AND POSSIBLE SILLINESS. No assembly required. (Pizzatron 2000 not included.)","['Graphic Novels', 'Humor', 'Middle Grade', 'Comics', 'Short Stories', 'Childrens', 'School', 'Fiction', 'Juvenile', 'Graphic Novels Comics']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388375460l/18691025.jpg
Just One Wish,Janette Rallison (Goodreads Author),"Seventeen-year-old Annika Truman knows about the power of positive thinking. With a little brother who has cancer, it's all she ever hears about. And in order to help Jeremy, she will go to the ends of the earth (or at least as far as Hollywood) to help him believe he can survive his upcoming surgery. But Annika's plan to convince Jeremy that a magic genie will grant him any wish throws her a curveball when he unexpectedly wishes that his television idol would visit him. Annika suddenly finds herself in the desperate predicament of getting access to a hunky star actor and convincing him to come home with her. Piece of cake, right? Janette Rallison's proven talent for laugh-out-loud humor, teen romance, and deep-hearted storytelling shines in a novel that will have readers laughing and crying at the same time.","['Young Adult', 'Romance', 'Contemporary', 'Chick Lit', 'Realistic Fiction', 'Fiction', 'Teen', 'Road Trip', 'Humor', 'Family']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424451108l/4570667.jpg
The Cat Who Brought Down the House,Lilian Jackson Braun,"Retiring in Pickax, actress Thelma Thackeray has decided to start a film club and organize a fundraiser revue, starring Koko the cat. But Thelma's celebrated arrival takes an unpleasant turn when the strange circumstances of her twin brother's recent death seem suspicious to Jim Qwilleran. Qwill needs a helping paw in this case. But will Koko deign to take time from his stage debut?Also see: Alternate Cover Editions for this ISBN [ACE] 
  ACE #1
~","['Mystery', 'Fiction', 'Cats', 'Cozy Mystery', 'Animals', 'Crime', 'Humor', 'Mystery Thriller', 'Audiobook', 'Adult']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388513814l/820278.jpg
In the Wake of the Sea-Serpents,Bernard Heuvelmans,Second Printing April 1969,"['Cryptozoology', 'Nonfiction', 'Science', 'Animals', 'Monsters', 'History']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1359891269l/1257262.jpg
Darkstalker,Tui T. Sutherland,"Three dragons. One unavoidable, unpredictable destiny. This is the beginning... of the end. In the SeaWing kingdom, a young prince learns he is an animus -- capable of wonderful magic that comes with a terrible price. In the mind of a NightWing dragonet, a thousand futures unfold -- and almost all of them, she knows, lead to disaster and destruction. And under three full moons and the watchful eyes of his NightWing mother and IceWing father, the most powerful dragon Pyrhhia will ever know is clawing his way out of his egg. Darkstalker, the dragon who will change the world forever. Long before the SandWing war, lifetimes before the Dragonet Prophecy... darkness is born.  ","['Fantasy', 'Dragons', 'Middle Grade', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Animals', 'Audiobook', 'Magic']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459384044l/28190254.jpg
The Walk of the Spirit - The Walk of Power : The Vital Role of Praying in Tongues,Dave Roberson,"Minimal shelfwear w/fold/curvature to book, inscription on title page. No markings. Pages are clean and bright. Binding is tight.","['Christian', 'Prayer', 'Spirituality', 'Faith']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1340566864l/658008.jpg
Waltz into Darkness,"William Irish (pseud.), Cornell Woolrich","In this thrilling tale of greed and deception, Cornell Woolrich tells of middle-aged Louis Durand, whose fiancee has died fifteen years ago on the eve of their wedding. Now Louis decides to take one more chance at love by marrying Julia Russell, a woman he knows only by correspondence. When she arrives on the day of their wedding, she is younger and more beautiful than he expected--and far more deadly. Louis soon comes to realize that Julia is not who she claims to be--and they both embark on a waltz into darkness.","['Fiction', 'Mystery', 'Noir', 'Classics', 'Crime', 'American', 'Suspense', 'The United States Of America', 'Media Tie In', 'Literature']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1179644794l/941136.jpg
A Break with Charity: A Story about the Salem Witch Trials,Ann Rinaldi,"Susanna desperately wants to join the circle of girls who meet every week at the parsonage. What she doesn't realize is that the girls are about to set off a torrent of false accusations leading to the imprisonment and execution of countless innocent people. Susanna faces a painful choice. Should she keep quiet and let the witch-hunt panic continue, or should she ""break charity"" with the group--and risk having her own family members named as witches?	Reader's guide included.","['Historical Fiction', 'Young Adult', 'Historical', 'Fiction', 'Witches', 'Childrens', 'Teen', 'School', 'Young Adult Historical Fiction', '17th Century']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441118632l/18549._SY475_.jpg
Ancient Sorceries and Other Weird Stories,"Algernon Blackwood, S.T. Joshi (Editor, Introduction and Notes)","Alternate cover for this ISBN can be found hereSpine-tingling supernatural tales from ""the one absolute and unquestioned master of weird atmosphere"" (H.P. Lovecraft)By turns bizarre, unsettling, spooky, and sublime, Ancient Sorceries and Other Weird Stories showcases nine incomparable stories from master conjuror Algernon Blackwood. Evoking the uncanny spiritual forces of Nature, Blackwood's writings all tread the nebulous borderland between fantasy, awe, wonder, and horror. Here Blackwood displays his best and most disturbing work-including the title story, the inspiration for Val Lewton's classic film Cat People; ""The Willows,"" which Lovecraft singled out as ""the single finest weird tale in literature""; ""The Wendigo""; ""The Insanity of Jones""; and ""Sand.""""Of the equality of Mr. Blackwood's genius there can be no dispute; for no one has ever approached the skill, seriousness, and minute fidelity with which he records the overtones of strangeness in ordinary things and experiences."" --H.P. Lovecraft","['Horror', 'Short Stories', 'Fantasy', 'Weird Fiction', 'Fiction', 'Gothic', 'Classics', 'Anthologies', 'Supernatural', 'Collections']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347255981l/93220.jpg
Lay Her Among the Lilies,James Hadley Chase,"It was odd that a healthy young heiress like Janet Crosby should die of heart failure. Odder still that on the day she died she sent a note and $500 to Vic Malloy, private investigator, asking him to trace the person who was blackmailing her sister.Intrigued by the note, Malloy tried to see Maureen Crosby but only got as far as her nurse - a curvaceous blonde with an engaging bedside manner. Next he tried to see Janet's personal maid, but found that somebody else had reached her first and made sure she wouldn't talk to anyone - ever again...Unless he dropped the case Malloy knew he would almost certainly become the killer's next victim ; but when the blonde nurse disappeared and a hired gunman tried to shoot him, it seemed he didn't have any choice left...","['Mystery', 'Thriller', 'Fiction', 'Novels', 'Crime']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175494264l/521224.jpg
Chaos: Making a New Science,James Gleick (Goodreads Author),"A work of popular science in the tradition of Stephen Hawking and Carl Sagan, this 20th-anniversary edition of James Gleick’s groundbreaking bestseller Chaos introduces a whole new readership to chaos theory, one of the most significant waves of scientific knowledge in our time. From Edward Lorenz’s discovery of the Butterfly Effect, to Mitchell Feigenbaum’s calculation of a universal constant, to Benoit Mandelbrot’s concept of fractals, which created a new geometry of nature, Gleick’s engaging narrative focuses on the key figures whose genius converged to chart an innovative direction for science. In Chaos, Gleick makes the story of chaos theory not only fascinating but also accessible to beginners, and opens our eyes to a surprising new view of the universe.","['Science', 'Nonfiction', 'Mathematics', 'Physics', 'Popular Science', 'Philosophy', 'History', 'Unfinished', 'Audiobook', 'Psychology']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327941595l/64582.jpg
Immortal Hearts,Ellen Schreiber,"Athena ""Stormy"" Sterling is coming to Dullsville, and Raven is both excited and panicked in anticipation of Alexander's little sister's visit. Alexander tells Raven that she and his sister have a lot in common, but can the mini-Raven be everything she hopes for? Alexander calls her Stormy for a reason. Stormy's visit stirs up the perfect immortal whirlwind. Raven is forced to take a good look at what it would really mean to be a vampire in the Sterling family, aside from some of the things she already loves, like shunning the sun and sleeping in a coffin with Alexander. When Raven compares her life with Stormy's, she can see that it's not all starry skies and black roses. But Raven knows she's always wanted to be a vampire. Alexander is as romantic and dreamy as ever, and though he keeps showing Raven how much he loves her, will she ultimately be able to convince him that it's the right thing to turn her? This final chapter of Vampire Kisses' nocturnal romance will keep all mortal and immortal hearts racing.","['Vampires', 'Young Adult', 'Paranormal', 'Romance', 'Fantasy', 'Paranormal Romance', 'Supernatural', 'Teen', 'Fiction', 'Young Adult Paranormal']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1316537890l/10890463.jpg
Vampire Knight Official Fanbook,"Matsuri Hino, Tomo Kimura (Goodreads Author) (Translator)","A comprehensive profile book of the hit series 
  Vampire Knight
!Can't get enough of 
  Vampire Knight
?Delve into the world of your favorite vampires with this official fanbook filled with insider information about the hit series. Includes a Cross Academy student ID card, glossy color pages, character design sketches, storyboards and an exclusive interview with Vampire Knight creator Matsuri Hino!","['Manga', 'Vampires', 'Fantasy', 'Romance', 'Graphic Novels', 'Paranormal', 'Shojo', 'Paranormal Romance', 'Comics Manga', 'Art']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342017236l/8147248.jpg
Vanish,Tom Pawlik (Goodreads Author),"2009 Christy Award winner!Three strangers each encounter the same mysterious storm and awake the next day to find that everyone else has vanished. There's Conner Hayden, a successful but unscrupulous trial lawyer who has forsaken his family for his career; Helen Krause, a middle-aged model struggling to come to grips with her fading beauty; and Mitch Kent, an enterprising young mechanic unable to escape a past that still haunts him. Afraid and desperate for answers, their paths eventually cross and they discover they are being watched. Elusive and obscured in shadows, the “observers” are apparently forcing them to relive vivid hallucinations of events from their past. They discover a mute homeless boy in tattered clothing and believe he may hold the key to the mystery, but the “observers” soon become aggressive and the four are forced to flee. When the boy disappears, the four decide to head from Chicago to Washington, D.C., in search of answers...and more survivors. Winner of the 2006 operation first novel contest, Vanish is a nonstop suspense thriller in the vein of Ted Dekker.","['Fiction', 'Christian Fiction', 'Mystery', 'Thriller', 'Christian', 'Suspense', 'Science Fiction', 'Paranormal', 'Fantasy', 'Horror']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406511968l/2909013.jpg
Politics Out of History,Wendy Brown,"What happens to left and liberal political orientations when faith in progress is broken, when both the sovereign individual and sovereign states seem tenuous, when desire seems as likely to seek punishment as freedom, when all political conviction is revealed as contingent and subjective? Politics Out of History is animated by the question of how we navigate the contemporary political landscape when the traditional compass points of modernity have all but disappeared. Wendy Brown diagnoses a range of contemporary political tendencies--from moralistic high-handedness to low-lying political despair in politics, from the difficulty of formulating political alternatives to reproaches against theory in intellectual life--as the consequence of this disorientation.Politics Out of History also presents a provocative argument for a new approach to thinking about history--one that forsakes the idea that history has a purpose and treats it instead as a way of illuminating openings in the present by, for example, identifying the haunting and constraining effects of past injustices unresolved. Brown also argues for a revitalized relationship between intellectual and political life, one that cultivates the autonomy of each while promoting their interlocutory potential. This book will be essential reading for all who find the trajectories of contemporary liberal democracies bewildering and are willing to engage readings of a range of thinkers--Freud, Marx, Nietzsche, Spinoza, Benjamin, Derrida--to rethink democratic possibility in our time.","['Theory', 'History', 'Politics', 'Philosophy']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347431373l/311909.jpg
Soul on Ice,Eldridge Cleaver,"The now-classic memoir that shocked, outraged, and ultimately changed the way America looked at the civil rights movement and the black experience.By turns shocking and lyrical, unblinking and raw, the searingly honest memoirs of Eldridge Cleaver are a testament to his unique place in American history. Cleaver writes in Soul on Ice, ""I'm perfectly aware that I'm in prison, that I'm a Negro, that I've been a rapist, and that I have a Higher Uneducation."" What Cleaver shows us, on the pages of this now classic autobiography, is how much he was a man.","['Nonfiction', 'Biography', 'History', 'Memoir', 'African American', 'Politics', 'Race', 'Autobiography', 'Essays', 'Classics']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417410878l/75162.jpg
Dog Days,Jeff Kinney (Goodreads Author),"It’s summer vacation, the weather’s great, and all the kids are having fun outside. So where’s Greg Heffley? Inside his house, playing video games with the shades drawn. Greg, a self-confessed ""indoor person,” is living out his ultimate summer fantasy: no responsibilities and no rules. But Greg’s mom has a different vision for an ideal summer . . . one packed with outdoor activities and ""family togetherness.” Whose vision will win out? Or will a new addition to the Heffley family change everything?","['Humor', 'Fiction', 'Realistic Fiction', 'Childrens', 'Middle Grade', 'Graphic Novels', 'Young Adult', 'Comedy', 'Comics', 'Diary']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388178896l/6578293.jpg
Promises to Keep,Ann Tatlock,"Eleven-year-old Roz (Rosalind) Anthony and her family have just moved to Mills River, Illinois, to escape an abusive situation. Only days after settling into their new home, they are surprised to find the previous owner, Tillie Monroe, on their front porch reading the newspaper. Though her sons have sold the house and sent her to a facility for the aged, she is determined to die in the place she lived her life, and somehow manages to find her way ""home"" day after day. Feeling sympathy for the elderly woman, Roz's mother allows Tillie to move back in. Mara Nightingale becomes Roz's first friend in Mills River. In spite of their many differences, the girls discover they have something in common that binds them together--both are hiding secrets. So they make a promise--""cross my heart and hope to die""--never to tell anyone else.When danger stalks the Anthonys, Tillie exhibits unimaginable courage and selfless love in her determination to protect the family she has adopted as her own.","['Fiction', 'Christian Fiction', 'Christian', 'Contemporary', 'Historical Fiction', 'Historical', 'Abuse', 'Inspirational', 'Drama', 'Mystery']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1332221675l/8794263.jpg
Jonathan and the Big Blue Boat,Philip C. Stead,"When Jonathan loses his best friend, a stuffed bear named Frederick, he sets sail on the Big Blue Boat to find him. Along the way he assembles a ragtag crew, including a mountain goat, a lonely circus elephant, and even a friendly whale. Adventure and intrigue (and pirates!) follow.

This title has Common Core connections.","['Picture Books', 'Fiction', 'Childrens', 'Adventure', 'Fantasy', 'Animals', 'Travel', 'Kids', 'Storytime', 'Transport']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312073806l/9644001.jpg
Black Rose,Nora Roberts (Goodreads Author),"A Harper has always lived at Harper House, the centuries-old mansion just outside of Memphis. And for as long as anyone alive remembers, the ghostly Harper Bride has walked the halls, singing lullabies at night...At forty-seven, Rosalind Harper is a woman whose experiences have made her strong enough to bend without breaking--and weather any storm. A widow with three grown sons, she survived a disastrous second marriage and built her In The Garden nursery from the ground up. Through the years, In The Garden has become more than just a thriving business--it is a symbol of hope and independence to Roz, and to the two women she shares it with. Newlywed Stella and new mother Hayley are the sisters of her heart, and together the three of them are the future of In The Garden.But now the future is under attack, and Roz knows they can't fight this battle alone. Hired to investigate Roz's Harper ancestors, Dr. Mitchell Carnegie finds himself just as intrigued with Roz herself. And as they being to unravel the puzzle of the Harper Bride's identity, Roz is shocked to find herself falling for the fascinating genealogist. Now it is a desperate race to discover the truth before the unpredictable apparition lashes out at the one woman who can help her rest in peace...","['Romance', 'Fiction', 'Paranormal', 'Contemporary Romance', 'Contemporary', 'Paranormal Romance', 'Chick Lit', 'Mystery', 'Fantasy', 'Ghosts']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298119100l/86321.jpg
